power, vel
-0.56, -190.408
-0.56, -202.097
-0.56, -201.76
-0.56, -195.403
-0.56, -191.571
-0.56, -195.978
-0.56, -190.259
-0.56, -195.676
-0.56, -202.112
-0.56, -192.887
-0.56, -190.503
-0.56, -185.649
-0.56, -202.051
-0.56, -203.004
-0.56, -194.024
-0.56, -189.045
-0.56, -202.542
-0.56, -190.517
-0.56, -202.496
-0.56, -189.988
-0.56, -197.721
-0.56, -199.258
-0.56, -190.899
-0.56, -196.7
-0.56, -194.704
-0.56, -196.526
-0.56, -184.43
-0.56, -191.957
-0.56, -198.206
-0.56, -191.392
-0.56, -190.015
-0.56, -204.264
-0.56, -201.99
-0.54, -197.546
-0.54, -195.575
-0.54, -187.688
-0.54, -191.131
-0.54, -186.912
-0.54, -185.533
-0.54, -183.427
-0.54, -186.337
-0.54, -196.353
-0.54, -197.619
-0.54, -194.903
-0.54, -181.394
-0.54, -182.636
-0.54, -188.231
-0.54, -189.098
-0.54, -187.279
-0.54, -187.384
-0.54, -182.836
-0.54, -189.018
-0.54, -188.55
-0.54, -188.924
-0.54, -182.361
-0.54, -186.467
-0.54, -187.266
-0.54, -186.285
-0.54, -187.846
-0.54, -191.86
-0.54, -186.794
-0.54, -187.411
-0.54, -187.966
-0.54, -179.767
-0.54, -188.271
-0.54, -188.284
-0.54, -188.75
-0.54, -189.798
-0.54, -187.622
-0.54, -190.954
-0.54, -180.546
-0.54, -184.455
-0.54, -188.577
-0.54, -192.081
-0.54, -194.804
-0.54, -190.776
-0.54, -181.27
-0.54, -186.064
-0.54, -187.979
-0.54, -183.87
-0.54, -190.204
-0.54, -181.542
-0.54, -195.403
-0.54, -190.776
-0.52, -188.737
-0.52, -181.049
-0.52, -188.59
-0.52, -184.048
-0.52, -182.025
-0.52, -178.11
-0.52, -176.858
-0.52, -181.752
-0.52, -173.702
-0.52, -176.111
-0.52, -175.381
-0.52, -181.777
-0.52, -181.876
-0.52, -179.828
-0.52, -175.6
-0.52, -178.051
-0.52, -179.574
-0.52, -181.579
-0.52, -176.25
-0.52, -180.4
-0.52, -176.987
-0.52, -174.634
-0.52, -177.058
-0.52, -174.349
-0.52, -179.453
-0.52, -172.992
-0.52, -170.929
-0.52, -177.529
-0.52, -177.648
-0.52, -182.037
-0.52, -181.814
-0.52, -175.404
-0.52, -184.175
-0.52, -174.634
-0.52, -177.73
-0.52, -176.46
-0.52, -181
-0.52, -180.901
-0.52, -180.693
-0.52, -172.51
-0.52, -175.208
-0.52, -182.586
-0.52, -178.504
-0.52, -184.864
-0.52, -181.394
-0.52, -180.29
-0.52, -184.251
-0.52, -176.6
-0.52, -175.635
-0.52, -181.566
-0.52, -188.098
-0.5, -172.868
-0.5, -176.145
-0.5, -175.082
-0.5, -179.043
